SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,INDUSTRY
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10,Chemicals
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1,Healthcare
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1,Fast Moving Consumer Goods
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10,Consumer Services
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,Financial Services
BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10,Capital Goods
BLS,BLS International Services Limited,EQ,14-JUN-2016,1,1,INE153T01027,1,Consumer Services
BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2,Financial Services
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,INE296A01024,2,Financial Services
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10,Financial Services
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2,Chemicals
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2,Automobile and Auto Components
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1,Fast Moving Consumer Goods
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10,Financial Services
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2,Financial Services
BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10,Financial Services
MAHABANK,Bank of Maharashtra,EQ,12-APR-2004,10,1,INE457A01014,10,Financial Services
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5,Consumer Durables
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10,Chemicals
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1,Consumer Durables
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,10,1,INE171Z01018,10,Capital Goods
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1,Capital Goods
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2,1,INE465A01025,2,Automobile and Auto Components
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2,Capital Goods
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5,Telecommunication
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1,Fast Moving Consumer Goods
BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5,Healthcare
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10,1,INE340A01012,10,Construction Materials
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2,Information Technology
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10,Services
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2,Consumer Durables
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2,Fast Moving Consumer Goods
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1,1,INE666D01022,1,Capital Goods
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10,1,INE323A01026,10,Automobile and Auto Components
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10,Realty
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1,Fast Moving Consumer Goods
MAPMYINDIA,C.E. Info Systems Limited,EQ,21-DEC-2021,2,1,INE0BV301023,2,Information Technology
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2,Fast Moving Consumer Goods
CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1,Power
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2,Capital Goods
CIEINDIA,CIE Automotive India Limited,EQ,30-AUG-2007,10,1,INE536H01010,10,Automobile and Auto Components
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,INE007A01025,1,Financial Services
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10,1,INE679A01013,10,Financial Services
CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022,5,1,INE278Y01022,5,Consumer Durables
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2,Financial Services
CANBK,Canara Bank,EQ,23-DEC-2002,10,1,INE476A01014,10,Financial Services
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2,1,INE475E01026,2,Healthcare
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,1,1,INE180C01042,1,Financial Services
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1,Capital Goods
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5,1,INE172A01027,5,Oil Gas & Consumable Fuels
CEATLTD,CEAT Limited,EQ,01-FEB-2008,10,1,INE482A01020,10,Automobile and Auto Components
CELLO,Cello World Limited,EQ,06-NOV-2023,5,1,INE0LMW01024,5,Consumer Durables
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10,Financial Services
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10,1,INE736A01011,10,Financial Services
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1,Consumer Durables
ABREL,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,INE055A01016,10,Forest Materials
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5,Consumer Durables
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10,1,INE427F01016,10,Consumer Services
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10,Chemicals
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5,1,INE488A01050,5,Chemicals
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10,1,INE178A01016,10,Oil Gas & Consumable Fuels
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1,1,INE149A01033,1,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2,Financial Services
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2,Healthcare
CUB,City Union Bank Limited,EQ,25-AUG-1998,1,1,INE491A01021,1,Financial Services
CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1,1,INE227W01023,1,Chemicals
COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10,Oil Gas & Consumable Fuels
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,5,1,INE704P01025,5,Capital Goods
COFORGE,Coforge Limited,EQ,30-AUG-2004,10,1,INE591G01017,10,Information Technology
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1,Fast Moving Consumer Goods
CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,10,1,INE596I01012,10,Financial Services
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023,1,1,INE338H01029,1,Healthcare
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5,Services
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1,Chemicals
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5,1,INE00LO01017,5,Automobile and Auto Components
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10,1,INE741K01010,10,Financial Services
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2,1,INE299U01018,2,Consumer Durables
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2,Capital Goods
CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5,Information Technology
DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2,1,INE499A01024,2,Diversified
DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2,Realty
DOMS,DOMS Industries Limited,EQ,20-DEC-2023,10,1,INE321T01012,10,Fast Moving Consumer Goods
DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,INE016A01026,1,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,INE00R701025,2,Construction Materials
DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2,1,INE0IX101010,2,Capital Goods
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10,Chemicals
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2,1,INE288B01029,2,Chemicals
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1,Services
DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1,1,INE872J01023,1,Consumer Services
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2,Healthcare
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2,1,INE935N01020,2,Consumer Durables
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,10,1,INE600L01024,10,Healthcare
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5,1,INE089A01023,5,Healthcare
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1,1,INE126A01031,1,Chemicals
EIHOTEL,EIH Limited,EQ,08-FEB-1995,2,1,INE230A01023,2,Consumer Services
EPL,EPL Limited,EQ,11-FEB-2002,2,1,INE255A01020,2,Capital Goods
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021,1,1,INE07O001026,1,Consumer Services
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1,1,INE066A01021,1,Automobile and Auto Components
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,2,1,INE205B01023,2,Capital Goods
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1,Capital Goods
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1,Fast Moving Consumer Goods
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10,1,INE913H01037,10,Automobile and Auto Components
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5,Construction
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10,1,INE063P01018,10,Financial Services
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1,1,INE406M01024,1,Healthcare
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,INE042A01014,10,Capital Goods
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1,Automobile and Auto Components
FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1,Healthcare
NYKAA,FSN E-Commerce Ventures Limited,EQ,10-NOV-2021,1,1,INE388Y01029,1,Consumer Services
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2,Financial Services
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10,Chemicals
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5,Chemicals
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2,Capital Goods
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2,Capital Goods
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10,Services
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1,Financial Services
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10,Healthcare
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10,Oil Gas & Consumable Fuels
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2,1,INE541A01023,2,Capital Goods
GMRAIRPORT,GMR Airports Infrastructure Limited,EQ,21-AUG-2006,1,1,INE776C01039,1,Services
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,10,1,INE382Z01011,10,Capital Goods
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5,Financial Services
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10,Fast Moving Consumer Goods
GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1,1,INE068V01023,1,Healthcare
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10,Healthcare
GLS,Glenmark Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2,Healthcare
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1,Healthcare
MEDANTA,Global Health Limited,EQ,16-NOV-2022,2,1,INE474Q01031,2,Healthcare
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,5,1,INE177H01021,5,Capital Goods
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2,1,INE260B01028,2,Fast Moving Consumer Goods
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1,Fast Moving Consumer Goods
GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,1,1,INE233A01035,1,Diversified
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5,Realty
GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1,Healthcare
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2,1,INE371A01025,2,Capital Goods
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2,Construction Materials
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10,Services
GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5,1,INE536A01023,5,Capital Goods
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,INE036B01030,1,Fast Moving Consumer Goods
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1,Chemicals
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2,1,INE844O01030,2,Oil Gas & Consumable Fuels
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2,1,INE131A01031,2,Metals & Mining
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10,Chemicals
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10,1,INE517F01014,10,Services
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2,1,INE026A01025,2,Chemicals
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10,1,INE246F01010,10,Oil Gas & Consumable Fuels
HEG,HEG Limited,EQ,10-MAY-1995,10,1,INE545A01016,10,Capital Goods
HBLPOWER,HBL Power Systems Limited,EQ,04-JAN-2007,1,1,INE292B01021,1,Automobile and Auto Components
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2,1,INE860A01027,2,Information Technology
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5,1,INE127D01025,5,Financial Services
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1,Financial Services
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10,1,INE795G01014,10,Financial Services
HFCL,HFCL Limited,EQ,09-MAR-2011,1,1,INE548A01028,1,Telecommunication
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2,1,INE419U01012,2,Information Technology
HAPPYFORGE,Happy Forgings Limited,EQ,27-DEC-2023,2,1,INE330T01021,2,Capital Goods
HAVELLS,Havells India Limited,EQ,21-MAR-2001,1,1,INE176B01034,1,Consumer Durables
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2,1,INE158A01026,2,Automobile and Auto Components
HSCL,Himadri Speciality Chemical Limited,BE,02-MAR-2007,1,1,INE019C01026,1,Chemicals
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1,1,INE038A01020,1,Metals & Mining
HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,5,1,INE066F01020,5,Capital Goods
HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,5,1,INE531E01026,5,Metals & Mining
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10,1,INE094A01015,10,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1,1,INE030A01027,1,Fast Moving Consumer Goods
HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006,2,1,INE267A01025,2,Metals & Mining
POWERINDIA,Hitachi Energy India Limited,EQ,30-MAR-2020,2,1,INE07Y701011,2,Capital Goods
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2,1,INE481N01025,2,Financial Services
HONASA,Honasa Consumer Limited,EQ,07-NOV-2023,10,1,INE0J5401028,10,Fast Moving Consumer Goods
HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,10,1,INE671A01010,10,Capital Goods
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10,1,INE031A01017,10,Financial Services
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10,1,INE765G01017,10,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10,1,INE726G01019,10,Financial Services
ISEC,ICICI Securities Limited,EQ,04-APR-2018,5,1,INE763G01038,5,Financial Services
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,INE008A01015,10,Financial Services
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10,1,INE092T01019,10,Financial Services
IDFC,IDFC Limited,EQ,12-AUG-2005,10,1,INE043D01016,10,Financial Services
IIFL,IIFL Finance Limited,EQ,17-MAY-2005,2,1,INE530B01024,2,Financial Services
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,1,1,INE821I01022,1,Construction
IRCON,Ircon International Limited,EQ,28-SEP-2018,2,1,INE962Y01021,2,Construction
ITC,ITC Limited,EQ,23-AUG-1995,1,1,INE154A01025,1,Fast Moving Consumer Goods
ITI,ITI Limited,EQ,15-SEP-2003,10,1,INE248A01017,10,Telecommunication
INDIACEM,The India Cements Limited,EQ,31-MAY-2000,10,1,INE383A01012,10,Construction Materials
SAMMAANCAP,Indiabulls Housing Finance Limited,EQ,23-JUL-2013,2,1,INE148I01020,2,Financial Services
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10,1,INE933S01016,10,Consumer Services
INDIANB,Indian Bank,EQ,01-MAR-2007,10,1,INE562A01011,10,Financial Services
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1,1,INE022Q01020,1,Financial Services
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1,1,INE053A01029,1,Consumer Services
IOC,Indian Oil Corporation Limited,EQ,24-JUL-1996,10,1,INE242A01010,10,Oil Gas & Consumable Fuels
IOB,Indian Overseas Bank,EQ,07-DEC-2000,10,1,INE565A01014,10,Financial Services
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019,2,1,INE335Y01020,2,Consumer Services
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10,1,INE053F01010,10,Financial Services
INDIGOPNTS,Indigo Paints Limited,EQ,02-FEB-2021,10,1,INE09VQ01012,10,Consumer Durables
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2,1,INE203G01027,2,Oil Gas & Consumable Fuels
INDUSTOWER,Indus Towers Limited,EQ,28-DEC-2012,10,1,INE121J01017,10,Telecommunication
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10,1,INE095A01012,10,Financial Services
NAUKRI,Info Edge (India) Limited,EQ,21-NOV-2006,10,1,INE663F01024,10,Consumer Services
INFY,Infosys Limited,EQ,08-FEB-1995,5,1,INE009A01021,5,Information Technology
INOXWIND,Inox Wind Limited,EQ,09-APR-2015,10,1,INE066P01011,10,Capital Goods
INTELLECT,Intellect Design Arena Limited,EQ,18-DEC-2014,5,1,INE306R01017,5,Information Technology
INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,10,1,INE646L01027,10,Services
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,1,1,INE571A01038,1,Healthcare
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,1,1,INE572A01036,1,Healthcare
JKCEMENT,JK Cement Limited,EQ,14-MAR-2006,10,1,INE823G01014,10,Construction Materials
JBMA,JBM Auto Limited,EQ,17-DEC-2004,2,1,INE927D01044,2,Automobile and Auto Components
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,19-JUN-2006,5,1,INE786A01032,5,Construction Materials
JKPAPER,JK Paper Limited,EQ,16-JUN-2005,10,1,INE789E01012,10,Forest Materials
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006,1,1,INE780C01023,1,Financial Services
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,10,1,INE121E01018,10,Power
JSWINFRA,JSW Infrastructure Limited,EQ,03-OCT-2023,2,1,INE880J01026,2,Services
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,1,1,INE019A01038,1,Metals & Mining
JAIBALAJI,Jai Balaji Industries Limited,BE,09-DEC-2003,10,1,INE091G01018,10,Metals & Mining
