SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,INDUSTRY
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2,1,INE288B01029,2,Chemicals
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1,Services
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2,Healthcare
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2,1,INE935N01020,2,Consumer Durables
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,10,1,INE600L01024,10,Healthcare
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5,1,INE089A01023,5,Healthcare
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1,1,INE066A01021,1,Automobile and Auto Components
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,INE042A01014,10,Capital Goods
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1,Automobile and Auto Components
NYKAA,FSN E-Commerce Ventures Limited,EQ,10-NOV-2021,1,1,INE388Y01029,1,Consumer Services
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10,Oil Gas & Consumable Fuels
GMRAIRPORT,GMR Airports Infrastructure Limited,EQ,21-AUG-2006,1,1,INE776C01039,1,Services
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1,Healthcare
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1,Fast Moving Consumer Goods
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5,Realty
GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1,Healthcare
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2,Construction Materials
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2,1,INE844O01030,2,Oil Gas & Consumable Fuels
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10,Chemicals
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2,1,INE860A01027,2,Information Technology
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5,1,INE127D01025,5,Financial Services
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1,Financial Services
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10,1,INE795G01014,10,Financial Services
HFCL,HFCL Limited,EQ,09-MAR-2011,1,1,INE548A01028,1,Telecommunication
HAVELLS,Havells India Limited,EQ,21-MAR-2001,1,1,INE176B01034,1,Consumer Durables
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2,1,INE158A01026,2,Automobile and Auto Components
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1,1,INE038A01020,1,Metals & Mining
HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,5,1,INE066F01020,5,Capital Goods
HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,5,1,INE531E01026,5,Metals & Mining
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10,1,INE094A01015,10,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1,1,INE030A01027,1,Fast Moving Consumer Goods
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10,1,INE031A01017,10,Financial Services
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10,1,INE765G01017,10,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10,1,INE726G01019,10,Financial Services
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10,1,INE092T01019,10,Financial Services
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,1,1,INE571A01038,1,Healthcare
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,1,1,INE821I01022,1,Construction
ITC,ITC Limited,EQ,23-AUG-1995,1,1,INE154A01025,1,Fast Moving Consumer Goods
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10,1,INE933S01016,10,Consumer Services
INDIANB,Indian Bank,EQ,01-MAR-2007,10,1,INE562A01011,10,Financial Services
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1,1,INE022Q01020,1,Financial Services
IOC,Indian Oil Corporation Limited,EQ,24-JUL-1996,10,1,INE242A01010,10,Oil Gas & Consumable Fuels
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019,2,1,INE335Y01020,2,Consumer Services
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10,1,INE053F01010,10,Financial Services
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2,1,INE203G01027,2,Oil Gas & Consumable Fuels
INDUSTOWER,Indus Towers Limited,EQ,28-DEC-2012,10,1,INE121J01017,10,Telecommunication
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10,1,INE095A01012,10,Financial Services
NAUKRI,Info Edge (India) Limited,EQ,21-NOV-2006,10,1,INE663F01024,10,Consumer Services
INFY,Infosys Limited,EQ,08-FEB-1995,5,1,INE009A01021,5,Information Technology
INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,10,1,INE646L01027,10,Services
JKCEMENT,JK Cement Limited,EQ,14-MAR-2006,10,1,INE823G01014,10,Construction Materials
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,10,1,INE121E01018,10,Power
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,1,1,INE019A01038,1,Metals & Mining
JSL,Jindal Stainless Limited,EQ,17-NOV-2003,2,1,INE220G01021,2,Metals & Mining
JINDALSTEL,Jindal Steel & Power Limited,EQ,29-DEC-1999,1,1,INE749A01030,1,Metals & Mining
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,10,1,INE758E01017,10,Financial Services
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,2,1,INE797F01020,2,Consumer Services
KEI,KEI Industries Limited,EQ,23-MAR-2006,2,1,INE878B01027,2,Capital Goods
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,10,1,INE04I401011,10,Information Technology
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10,1,INE303R01014,10,Consumer Durables
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5,1,INE237A01028,5,Financial Services
LTF,L&T Finance Limited,EQ,12-AUG-2011,10,1,INE498L01015,10,Financial Services
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2,1,INE010V01017,2,Information Technology
LICHSGFIN,LIC Housing Finance Limited,EQ,29-JUL-1998,2,1,INE115A01026,2,Financial Services
LTIM,LTIMindtree Limited,EQ,21-JUL-2016,1,1,INE214T01019,1,Information Technology
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,2,1,INE018A01030,2,Construction
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,2,1,INE947Q01028,2,Healthcare
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022,10,1,INE0J1Y01017,10,Financial Services
LUPIN,Lupin Limited,EQ,10-SEP-2001,2,1,INE326A01037,2,Healthcare
MRF,MRF Limited,EQ,18-SEP-1996,10,1,INE883A01011,10,Automobile and Auto Components
LODHA,Macrotech Developers Limited,EQ,19-APR-2021,10,1,INE670K01029,10,Realty
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10,1,INE002S01010,10,Oil Gas & Consumable Fuels
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2,1,INE774D01024,2,Financial Services
M&M,Mahindra & Mahindra Limited,EQ,03-JAN-1996,5,1,INE101A01026,5,Automobile and Auto Components
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014,2,1,INE522D01027,2,Financial Services
MARICO,Marico Limited,EQ,01-MAY-1996,1,1,INE196A01026,1,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Limited,EQ,09-JUL-2003,5,1,INE585B01010,5,Automobile and Auto Components
MFSL,Max Financial Services Limited,EQ,17-MAY-2000,2,1,INE180A01020,2,Financial Services
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-AUG-2020,10,1,INE027H01010,10,Healthcare
METROPOLIS,Metropolis Healthcare Limited,EQ,15-APR-2019,2,1,INE112L01020,2,Healthcare
MPHASIS,MphasiS Limited,EQ,04-JUN-2004,10,1,INE356A01018,10,Information Technology
MCX,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012,10,1,INE745G01035,10,Financial Services
MUTHOOTFIN,Muthoot Finance Limited,EQ,06-MAY-2011,10,1,INE414G01012,10,Financial Services
NCC,NCC Limited,EQ,14-OCT-2003,2,1,INE868B01028,2,Construction
NHPC,NHPC Limited,EQ,01-SEP-2009,10,1,INE848E01016,10,Power
NMDC,NMDC Limited,EQ,03-MAR-2008,1,1,INE584A01023,1,Metals & Mining
NTPC,NTPC Limited,EQ,05-NOV-2004,10,1,INE733E01010,10,Power
NATIONALUM,National Aluminium Company Limited,EQ,28-APR-1999,5,1,INE139A01034,5,Metals & Mining
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-JUN-2007,2,1,INE048G01026,2,Chemicals
NESTLEIND,Nestle India Limited,EQ,01-AUG-2023,1,1,INE239A01024,1,Fast Moving Consumer Goods
OBEROIRLTY,Oberoi Realty Limited,EQ,20-OCT-2010,10,1,INE093I01010,10,Realty
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5,1,INE213A01029,5,Oil Gas & Consumable Fuels
OIL,Oil India Limited,EQ,30-SEP-2009,10,1,INE274J01014,10,Oil Gas & Consumable Fuels
PAYTM,One 97 Communications Limited,EQ,18-NOV-2021,1,1,INE982J01020,1,Financial Services
OFSS,Oracle Financial Services Software Limited,EQ,28-JUN-2002,5,1,INE881D01027,5,Information Technology
POLICYBZR,PB Fintech Limited,EQ,15-NOV-2021,2,1,INE417T01026,2,Financial Services
PIIND,PI Industries Limited,EQ,15-JUN-2011,1,1,INE603J01030,1,Chemicals
PVRINOX,PVR INOX Limited,EQ,04-JAN-2006,10,1,INE191H01014,10,Media Entertainment & Publication
PAGEIND,Page Industries Limited,EQ,16-MAR-2007,10,1,INE761H01022,10,Textiles
PERSISTENT,Persistent Systems Limited,EQ,06-APR-2010,5,1,INE262H01021,5,Information Technology
PETRONET,Petronet LNG Limited,EQ,26-MAR-2004,10,1,INE347G01014,10,Oil Gas & Consumable Fuels
PIDILITIND,Pidilite Industries Limited,EQ,29-MAR-1995,1,1,INE318A01026,1,Chemicals
PEL,Piramal Enterprises Limited,EQ,08-FEB-1995,2,1,INE140A01024,2,Financial Services
POLYCAB,Polycab India Limited,EQ,16-APR-2019,10,1,INE455K01017,10,Capital Goods
POONAWALLA,Poonawalla Fincorp Limited,EQ,27-APR-2004,2,1,INE511C01022,2,Financial Services
PFC,Power Finance Corporation Limited,EQ,23-FEB-2007,10,1,INE134E01011,10,Financial Services
POWERGRID,Power Grid Corporation of India Limited,EQ,05-OCT-2007,10,1,INE752E01010,10,Power
PRESTIGE,Prestige Estates Projects Limited,EQ,27-OCT-2010,10,1,INE811K01011,10,Realty
PNB,Punjab National Bank,EQ,24-APR-2002,2,1,INE160A01022,2,Financial Services
RBLBANK,RBL Bank Limited,EQ,31-AUG-2016,10,1,INE976G01028,10,Financial Services
RECLTD,REC Limited,EQ,12-MAR-2008,10,1,INE020B01018,10,Financial Services
RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995,10,1,INE002A01018,10,Oil Gas & Consumable Fuels
SBICARD,SBI Cards and Payment Services Limited,EQ,16-MAR-2020,10,1,INE018E01016,10,Financial Services
SBILIFE,SBI Life Insurance Company Limited,EQ,03-OCT-2017,10,1,INE123W01016,10,Financial Services
SHREECEM,SHREE CEMENT LIMITED,EQ,26-APR-1995,10,1,INE070A01015,10,Construction Materials
SJVN,SJVN Limited,EQ,20-MAY-2010,10,1,INE002L01015,10,Power
SRF,SRF Limited,EQ,18-AUG-2003,10,1,INE647A01010,10,Chemicals
MOTHERSON,Samvardhana Motherson International Limited,EQ,14-AUG-1996,1,1,INE775A01035,1,Automobile and Auto Components
SHRIRAMFIN,Shriram Finance Limited,EQ,11-DEC-1996,10,1,INE721A01013,10,Financial Services
SIEMENS,Siemens Limited,EQ,06-SEP-1995,2,1,INE003A01024,2,Capital Goods
SONACOMS,Sona BLW Precision Forgings Limited,EQ,24-JUN-2021,10,1,INE073K01018,10,Automobile and Auto Components
SBIN,State Bank of India,EQ,01-MAR-1995,1,1,INE062A01020,1,Financial Services
SAIL,Steel Authority of India Limited,EQ,06-JUL-1995,10,1,INE114A01011,10,Metals & Mining
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1,1,INE044A01036,1,Healthcare
SUNTV,Sun TV Network Limited,EQ,24-APR-2006,5,1,INE424H01027,5,Media Entertainment & Publication
SUPREMEIND,Supreme Industries Limited,EQ,19-JUL-1995,2,1,INE195A01028,2,Capital Goods
SYNGENE,Syngene International Limited,EQ,11-AUG-2015,10,1,INE398R01022,10,Healthcare
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-NOV-1998,1,1,INE192A01025,1,Fast Moving Consumer Goods
TVSMOTOR,TVS Motor Company Limited,EQ,02-AUG-2000,1,1,INE494B01023,1,Automobile and Auto Components
TATACHEM,Tata Chemicals Limited,EQ,01-APR-1999,10,1,INE092A01019,10,Chemicals
TATACOMM,Tata Communications Limited,EQ,12-APR-1995,10,1,INE151A01013,10,Telecommunication
TCS,Tata Consultancy Services Limited,EQ,25-AUG-2004,1,1,INE467B01029,1,Information Technology
TATAELXSI,Tata Elxsi Limited,EQ,17-SEP-2003,10,1,INE670A01012,10,Information Technology
TATAMOTORS,Tata Motors Limited,EQ,22-JUL-1998,2,1,INE155A01022,2,Automobile and Auto Components
TATAPOWER,Tata Power Company Limited,EQ,03-APR-1996,1,1,INE245A01021,1,Power
TATASTEEL,Tata Steel Limited,EQ,18-NOV-1998,1,1,INE081A01020,1,Metals & Mining
TECHM,Tech Mahindra Limited,EQ,28-AUG-2006,5,1,INE669C01036,5,Information Technology
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2,Financial Services
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1,1,INE053A01029,1,Consumer Services
RAMCOCEM,The Ramco Cements Limited,EQ,09-APR-1997,1,1,INE331A01037,1,Construction Materials
TITAN,Titan Company Limited,EQ,24-SEP-2004,1,1,INE280A01028,1,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-NOV-2002,5,1,INE685A01028,5,Healthcare
TRENT,Trent Limited,EQ,07-JUN-2004,1,1,INE849A01020,1,Consumer Services
TIINDIA,Tube Investments of India Limited,EQ,02-NOV-2017,1,1,INE974X01010,1,Automobile and Auto Components
UPL,UPL Limited,EQ,23-JAN-2004,2,1,INE628A01036,2,Chemicals
ULTRACEMCO,UltraTech Cement Limited,EQ,24-AUG-2004,10,1,INE481G01011,10,Construction Materials
UNIONBANK,Union Bank of India,EQ,24-SEP-2002,10,1,INE692A01016,10,Financial Services
UBL,United Breweries Limited,EQ,28-JUL-2008,1,1,INE686F01025,1,Fast Moving Consumer Goods
VBL,Varun Beverages Limited,EQ,08-NOV-2016,5,1,INE200M01021,5,Fast Moving Consumer Goods
VEDL,Vedanta Limited,EQ,13-MAY-1998,1,1,INE205A01025,1,Metals & Mining
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10,1,INE669E01016,10,Telecommunication
VOLTAS,Voltas Limited,EQ,12-APR-1995,1,1,INE226A01021,1,Consumer Durables
WIPRO,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2,Information Technology
YESBANK,Yes Bank Limited,EQ,12-JUL-2005,2,1,INE528G01035,2,Financial Services
ZOMATO,Zomato Limited,EQ,23-JUL-2021,1,1,INE758T01015,1,Consumer Services
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1,Healthcare
